,description,question,choices,answer
0,A winding road through a forest in autumn.,"['is this a road?', 'what type of place is this?', 'is this a forest?', 'what type of place is this?', 'is the road winding?', 'is the road winding or straight?', 'is this autumn?', 'is this autumn or spring?']","[['yes', 'no'], ['road', 'parking lot', 'airport', 'bus stop'], ['yes', 'no'], ['forest', 'park', 'mountain', 'desert'], ['yes', 'no'], ['winding', 'straight', 'curved', 'twisting'], ['yes', 'no'], ['autumn', 'spring', 'summer', 'winter']]","['yes', 'road', 'yes', 'forest', 'yes', 'winding', 'yes', 'autumn']"
1,a gradient of purple fading to orange,"['is this purple?', 'what color is this?', 'is this orange?', 'what color is this?', 'is the purple fading to orange?', 'is this a gradient?', 'is this a gradient or a solid color?', 'is the purple fading to orange?', 'is the purple fading to orange or to blue?']","[['yes', 'no'], ['purple', 'blue', 'red', 'yellow'], ['yes', 'no'], ['orange', 'red', 'yellow', 'green'], ['yes', 'no'], ['yes', 'no'], ['gradient', 'solid color', 'pattern', 'texture'], ['yes', 'no'], ['orange', 'blue', 'red', 'yellow']]","['yes', 'purple', 'yes', 'orange', 'yes', 'yes', 'gradient', 'yes', 'orange']"
2,white diagonal stripes on a crimson background,"['are there white stripes on a crimson background?', 'what is on the background?', 'is there a crimson background?', 'what is in the background?', 'are the stripes white?', 'what color are the stripes?', 'is the background crimson?', 'what color is the background?', 'are the stripes diagonal?', 'are the stripes diagonal or vertical?']","[['yes', 'no'], ['stripes', 'dots', 'lines', 'squares'], ['yes', 'no'], ['stripes', 'dots', 'lines', 'squares'], ['yes', 'no'], ['white', 'black', 'red', 'blue'], ['yes', 'no'], ['crimson', 'black', 'red', 'blue'], ['yes', 'no'], ['diagonal', 'vertical', 'horizontal', 'oblique']]","['yes', 'stripes', 'yes', 'stripes', 'yes', 'white', 'yes', 'crimson', 'yes', 'diagonal']"
3,Cyan and orange hexagonal tiling,"['is this a hexagonal tiling?', 'what type of tiling is this?', 'is the tiling cyan and orange?', 'what color is the tiling?']","[['yes', 'no'], ['hexagonal tiling', 'square tiling', 'triangular tiling', 'rectangular tiling'], ['yes', 'no'], ['cyan and orange', 'red and blue', 'blue and green', 'yellow and red']]","['yes', 'hexagonal tiling', 'yes', 'cyan and orange']"
4,a checkerboard pattern using alternating shades of grey,"['is this a checkerboard pattern?', 'what type of pattern is this?', 'is the pattern alternating?', 'is the pattern alternating or uniform?', 'is the pattern grey?', 'what color is the pattern?', 'is the pattern using alternating shades of grey?']","[['yes', 'no'], ['checkerboard pattern', 'striped pattern', 'dotted pattern', 'solid pattern'], ['yes', 'no'], ['alternating', 'uniform', 'random', 'ordered'], ['yes', 'no'], ['grey', 'black', 'white', 'blue'], ['yes', 'no']]","['yes', 'checkerboard pattern', 'yes', 'alternating', 'yes', 'grey', 'yes']"
5,Blue spheres orbiting a gold cube,"['are there spheres orbiting a cube?', 'what type of object is this?', 'is there a cube?', 'what type of object is this?', 'are the spheres orbiting the cube?', 'are the spheres blue?', 'what color are the spheres?', 'is the cube gold?', 'what color is the cube?']","[['yes', 'no'], ['spheres', 'cubes', 'cylinders', 'cones'], ['yes', 'no'], ['cube', 'sphere', 'cylinder', 'cone'], ['yes', 'no'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper']]","['yes', 'spheres', 'yes', 'cube', 'yes', 'yes', 'blue', 'yes', 'gold']"
6,a sky-blue origami crane with red accents,"['is this an origami crane?', 'what type of object is this?', 'are there accents on the origami crane?', 'what are on the origami crane?', 'is the origami crane sky-blue?', 'what color is the origami crane?', 'are the accents red?', 'what color are the accents?']","[['yes', 'no'], ['origami crane', 'origami bird', 'origami flower', 'origami boat'], ['yes', 'no'], ['accents', 'patterns', 'decorations', 'colors'], ['yes', 'no'], ['sky-blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['red', 'blue', 'yellow', 'green']]","['yes', 'origami crane', 'yes', 'accents', 'yes', 'sky-blue', 'yes', 'red']"
7,an emerald green crystal octahedron rotating slowly,"['is this a crystal octahedron?', 'what type of object is this?', 'is the crystal octahedron rotating?', 'is the crystal octahedron emerald green?', 'what color is the crystal octahedron?', 'is the crystal octahedron rotating slowly?', 'is the crystal octahedron rotating slowly or quickly?']","[['yes', 'no'], ['crystal octahedron', 'crystal cube', 'crystal sphere', 'crystal pyramid'], ['yes', 'no'], ['yes', 'no'], ['emerald green', 'ruby red', 'sapphire blue', 'diamond yellow'], ['yes', 'no'], ['slowly', 'quickly', 'fast', 'slow']]","['yes', 'crystal octahedron', 'yes', 'yes', 'emerald green', 'yes', 'slowly']"
8,Navy blue blazer with brass buttons and a single vent,"['is this a blazer?', 'what type of coat is this?', 'are there buttons on the blazer?', 'what is on the blazer?', 'is there a vent on the blazer?', 'what is on the blazer?', 'is the blazer navy blue?', 'what color is the blazer?', 'are the buttons brass?', 'what is the material of the buttons?']","[['yes', 'no'], ['blazer', 'jacket', 'coat', 'sweater'], ['yes', 'no'], ['buttons', 'buttons', 'buttons', 'buttons'], ['yes', 'no'], ['vent', 'vent', 'vent', 'vent'], ['yes', 'no'], ['navy blue', 'black', 'white', 'gray'], ['yes', 'no'], ['brass', 'iron', 'steel', 'aluminum']]","['yes', 'blazer', 'yes', 'buttons', 'yes', 'vent', 'yes', 'navy blue', 'yes', 'brass']"
9,sapphire stars scattered across a field of pearl spheres,"['are there sapphire stars scattered across the field?', 'what type of star is this?', 'is this a field?', 'what type of place is this?', 'are there pearl spheres scattered across the field?', 'what type of object is this?', 'are the sapphire stars scattered across the field?']","[['yes', 'no'], ['sapphire stars', 'ruby stars', 'emerald stars', 'diamond stars'], ['yes', 'no'], ['field', 'park', 'forest', 'mountain'], ['yes', 'no'], ['pearl spheres', 'ruby spheres', 'emerald spheres', 'diamond spheres'], ['yes', 'no']]","['yes', 'sapphire stars', 'yes', 'field', 'yes', 'pearl spheres', 'yes']"
10,emerald cubes stacked unevenly,"['are there cubes?', 'what type of shape is this?', 'are the cubes stacked?', 'what are the cubes doing?', 'are the cubes emerald?', 'what color are the cubes?', 'are the cubes stacked unevenly?', 'are the cubes stacked unevenly or evenly?']","[['yes', 'no'], ['cubes', 'spheres', 'cylinders', 'cones'], ['yes', 'no'], ['stacked', 'piled', 'thrown', 'dropped'], ['yes', 'no'], ['emerald', 'ruby', 'sapphire', 'diamond'], ['yes', 'no'], ['unevenly', 'evenly', 'tidily', 'messily']]","['yes', 'cubes', 'yes', 'stacked', 'yes', 'emerald', 'yes', 'unevenly']"
